"Origin","Proverb"
"Danish","There are many days in the year, and still more meals."
"Danish","The poor man seeks for food, the rich man for appetite."
"Danish","There is no fishing for trout in dry breeches."
"Danish","Throw not the child out with the bath."
"Danish","To be a fool at the right time is also an art."
"Danish","To bait and to grease does not retard a journey."
"Danish","To a friend's house the road is never long."
"Danish","Time works wonders."
"Danish","Time will tell."
"Danish","Time waits for no man."
"Danish","Time is not tied to a post, like a horse to the manger."
"Danish","There's many a slip 'twixt cut and lip."
"Danish","Throw not thy hatchet at the Lord, He will turn the sharp edge against thee."
"Danish","The wolf preys not in his own field."
"Danish","Throw no stones at a sleeping dog."
"Danish","Though your enemy is the size of an ant, regard him as an elephant."
"Danish","Though you teach a wolf the paternoster, he will say ""Lamb! Lamb!"""
"Danish","Though the bird's in the net It may get away yet."
"Danish","Though the ass may carry a sack of gold, it nevertheless feeds on thistles."
"Danish","Those who climb high, often have a fall."
"Danish","They who do not wash well, do not bleach well."
"Danish","Thundershowers and great men's favour are always partial."
"Danish","The raven chides blackness."
"Danish","The young pig must often suffer for what the old sow did."
"Danish","The shirt is nearer to the body than the coat."
"Danish","The sheep that bleat the most give the least milk."
"Danish","The scraping hen will get something; the crouching hen nothing."
"Danish","The scoffer's own house is often on fire."
"Danish","The road to heaven is equally short, where'er we die."
"Danish","The road to a friend's house is never long."
"Danish","The shoemakers children go barefoot."
"Danish","The raven is fair when the rook is not by."
"Danish","The silent man is most trusted."
"Danish","The raven always thinks that her young ones are the whitest."
"Danish","The priest to his book, the peasant to his plough."
"Danish","The pride of the poor does not endure."
"Danish","The pot calls the kettle black."
"Danish","The pot boils best on your own hearth."
"Danish","The poor man's corm always grows thin."
"Danish","The aged in council--the young in action."
"Danish","The rich widow's tears soon dry."
"Danish","The sword keeps the peace of the land."
"Danish","The water runs while the miller sleeps."
"Danish","The watch-dog does not get sweet milk unless there be drowned mice in it."
"Danish","The waggon must go whither the horses draw it."
"Danish","The used plough shines, standing water stinks."
"Danish","The used key is always bright."
"Danish","The upright never grow rich in a hurry."
"Danish","The tree is sure to be pruned before it reaches the skies."
"Danish","The shoemaker's son always goes barefoot."
"Danish","The teeth of the puppy are growing, while the old dog is gnawing bones."
"Danish","The poor man seeks only a crumb, then finds he still hungers."
"Danish","The stone that everybody spits upon will be wet at the last."
"Danish","The sting of a reproach is the truth of it."
"Danish","The still swine eat the mash. the wind ones run past it."
"Danish","The steps at court are slippery."
"Danish","The sow prefers the mire."
"Danish","The sleeping fox catches no poultry."
"Danish","The sky is not the less blue because the blind man does not see it."
"Danish","The tooth often bites the tongue, and yet they keep together."
"Danish","Better a salt herring on your own table, than a fresh pike on another man's."
"Danish","Better in an old carriage than in a new ship."
"Danish","Better half a loaf than none at all."
"Danish","Better cross an angry man than a fasting man."
"Danish","Better come late to church than never."
"Danish","Better blow hard than burn yourself."
"Danish","Better be convinced by words than by blows."
"Danish","Better walk unshackled in a green meadow, than be bound to a thorn-brush."
"Danish","Better an open enemy than a false friend."
"Danish","Better lose the anchor than the whole ship."
"Danish","Better a poor horse than an empty stall."
"Danish","Better a little in peace and with right, than much with anxiety and strife."
"Danish","Better a little furniture than an empty house."
"Danish","Better a friend's bite than an enemy's caress."
"Danish","Before a man learns to hang he is half dead."
"Danish","Beauty without virtue is like a rose without scent."
"Danish","Beauty is a fading flower."
"Danish","Better ask twice than lose your way once."
"Danish","Better the child cry than the old man."
"Danish","Every little helps, said the sow, when she snapped at a gnat."
"Danish","Better twice measured than once wrong."
"Danish","Better to light a candle than to curse the darkness."
"Danish","Better to have something yourself, than to beg of your sister."
"Danish","Better to deny at once, than to promise long."
"Danish","Better to be a free bird than a captive king."
"Danish","Better to ask twice than to lose your way once."
"Danish","Better is the branch that bends, than the branch that breaks."
"Danish","Better the child cry, than the mother sigh."
"Danish","Better is the evil known than the good which is yet to know."
"Danish","Better suffer for truth, than prosper by falsehood."
"Danish","Better spare at the brim that at the bottom."
"Danish","Better something on the arm than all in the stomach."
"Danish","Better one cow in peace than seven in trouble."
"Danish","Better no law, than law not enforced."
"Danish","Better make a short circuit than to wet your hose."
"Danish","Bad is never good until worse happens."
"Danish","Better the world should know you as a sinner than God know you as a hypocrite."
"Danish","Always to be sparing is always to be in want."
"Danish","Beauty draws with a single hair."
"Danish","An old error has more friends than a new truth."
"Danish","An ill-tempered woman is the devil's door-nail."
"Danish","An ill-tempered dog has a scarred nose."
"Danish","An honest man is not the worse because a dog barks at him."
"Danish","An honest man does not make himself a dog for the sake of a bone."
"Danish","An evil eye can see no good."
"Danish","An old man's sayings are seldom untrue."
"Danish","An empty cellar makes an angry butler."
"Danish","An old wolf is not scared by loud cries."
"Danish","Along in counsel, alone in sorrow."
"Danish","Alms do not empty the purse, and a mass does not exhaust the day's duty."
"Danish","Almost kills no man."
"Danish","All women may be won."
"Danish","All women are good Lutherans, they would rather preach than hear mass."
"Danish","All who snore are not asleep."
"Danish","All keys hang not on one girdle."
"Danish","An evil deed has a witness in the bosom."
"Danish","As a man dresses so is he esteemed."
"Danish","Better whole than patched in gold."
"Danish","At court they sell a good deal of smoke without fire."
"Danish","Ask advice of your equals, help of your superiors."
"Danish","As water runs towards the sword money towards the rich man's hand."
"Danish","As the virtue in the tree, such is the fruit."
"Danish","As the saying goes."
"Danish","As the old ones sing, the young ones twitter."
"Danish","An old fool is worse than a young simpleton."
"Danish","As the man is, so is his speech."
"Danish","Beauty carries its dower in its face."
"Danish","Art is art, even though unsuccessful."
"Danish","Art and knowledge bring bread and honour."
"Danish","Another year will bring another Christmas."
"Danish","Another man's horse and your own whip can do a great deal."
"Danish","Another man's burden is always light."
"Danish","And Nathan said unto David: ""Thou art the man."""
"Danish","An unpleasant guest is as welcome as salt to a sore eye."
"Danish","As the master is, so are his men."
"Danish","Do not wade where you see no bottom."
"Danish","Empty barrels give the most sound."
"Danish","Eggs and oaths are easily broken."
"Danish","Earnestness and sport go well together."
"Danish","Dull scissors make crooked-mouthed tailors."
"Danish","Dry wood makes a quick fire."
"Danish","Drive the nail that will go."
"Danish","Better walk on wooden legs, than be carried on a wooden bier."
"Danish","Don't sell the skin till you have caught the fox."
"Danish","Envy does not enter an empty house."
"Danish","Do not put in more warp than you can weave."
"Danish","Do not judge your friend until you stand in his place."
"Danish","Do not judge the dog by his hairs."
"Danish","Do good to a knave, and pray God he may not do the same to thee."
"Danish","Do as you would be done by."
"Danish","Do as others do, and few will mock you."
"Danish","Distrust is poison to friendship."
"Danish","Drive not too many ploughs at once, some will make foul work."
"Danish","It is bitter fare to eat one's own words."
"Danish","Every little fish expects to become a whale."
"Danish","Every light hath its shadow."
"Danish","Every life has its joy, every joy its law."
"Danish","Every fool thinks he is clever enough."
"Danish","Every fool can find faults that a great many wise men can't remedy."
"Danish","Every foal is not like its sire."
"Danish","Every day hath its night, every weal its woe."
"Danish","Empty waggons make most noise."
"Danish","Even that fish may be caught that strives the hardest against it."
"Danish","Enough is great riches."
"Danish","Even doubtful accusations leave a stain behind them."
"Danish","Even crumbs are bread."
"Danish","Even clever hens sometimes lay their eggs among nettles."
"Danish","Even a small star shines in the darkness."
"Danish","Envy was never a good spokesman."
"Danish","Envy is its own torturer."
"Danish","Deep rivers move with silent majesty, shallow brooks are noisy."
"Danish","Every day has its evening."
"Danish","Blame is the lazy man's wages."
"Danish","Diligent work makes a skilful workman."
"Danish","Call not the devil, he will come fast enough unbidden."
"Danish","By gnawing skin a dog learns to eat leather."
"Danish","Buy in the cheapest market and sell in the dearest."
"Danish","Buy him at his own price and sell him at yours and you'll make no bargain."
"Danish","Butter spoils no meat, and moderation injures no cause."
"Danish","Break one link and the whole chain falls apart."
"Danish","Chastise a good child, that it may not grow bad, and a bad one, that it may not grow worse."
"Danish","Blame it on the rain."
"Danish","Cheerfulness and goodwill make labour light."
"Danish","Blacksmith's children are not afraid of sparks."
"Danish","Bite not the dog that bites."
"Danish","Big words seldom go with good deeds."
"Danish","Beware, froth is not beer."
"Danish","Beware of the dog himself, his shadow does not bite."
"Danish","Between saying and doing there is a great distance."
"Danish","Between evil tongues and evil ears, there is nothing to choose."
"Danish","Bread is better than the song of birds."
"Danish","Counsel after action is like rain after harvest."
"Danish","All but saves many a man."
"Danish","Deep draughts, and long morning slumbers, soon make a man poor."
"Danish","Deceit is in haste, but honesty can wait a fair leisure."
"Danish","Deceit and treachery make no man rich."
"Danish","Death does not blow a trumpet."
"Danish","Daylight will come, though the cock do not crow."
"Danish","Damage suffered makes you knowing, but seldom rich."
"Danish","Care, and not fine stables, make a good horse."
"Danish","Crooked iron may be straightened with a hammer."
"Danish","Despise not a small wound, a poor kinsman, or an humble enemy."
"Danish","Correction is good when administered in time."
"Danish","Chop, and you will have splinters."
"Danish","Children are the riches of the poor."
"Danish","Children are certain cares, but uncertain comforts."
"Danish","Children are a poor man's wealth."
"Danish","Children and fools Shouldn't play with edged tools."
"Danish","Children and drunken men speak the truth."
"Danish","Cunning has little honour."
"Danish","A good handicraft has a golden foundation."
"Danish","A green Yule makes a fat churchyard."
"Danish","A green Christmas makes a fat churchyard."
"Danish","A greedy mill grinds all kinds of corn."
"Danish","A goose drinks as much as a gander."
"Danish","A good plan today is better than a perfect plan tomorrow."
"Danish","A good pilot is not known when the sea is calm and the weather fair."
"Danish","All keys hang not at one woman's girdle."
"Danish","A good king is better than an old law."
"Danish","A head is not to be cut off because it is scabby."
"Danish","A golden key opens every door except that of heaven."
"Danish","A glad heart seldom sighs, but a sorrowful mouth often laughs."
"Danish","A full vessel must be carried carefully."
"Danish","A full stomach praises Lent."
"Danish","A full belly dances better than a fine coat."
"Danish","A friend's frown is better than a fool's smile."
"Danish","A friend's faults may be notices, but not blamed."
"Danish","A good neighbour is better than a brother far off."
"Danish","A lass that has many wooers often fares the worst."
"Danish","A man does not always aim at what he means to hit."
"Danish","A man dances all the same, though he may dance against his will."
"Danish","A man conducts himself abroad as he has been taught at home."
"Danish","A man cannot carry all his kin on his back."
"Danish","A lord without land, is like a cask without wine."
"Danish","A little stone may upset a large cart."
"Danish","A little dog, a cow without horns, and a short man, are generally proud."
"Danish","A gross belly does not produce a refined mind."
"Danish","A lazy boy and a warm bed are difficult to part."
"Danish","A hard bit does not make the better horse."
"Danish","A large fire often comes from a small spark."
"Danish","A joyous evening often leads to a sorrowful morning."
"Danish","A hungry dog and a thirsty horse take no heed of blows."
"Danish","A hundred waggonsful of sorrow will not pay a handful of debt."
"Danish","A hearth of your own is worth gold."
"Danish","A headstrong man and a fool may wear the same cap."
"Danish","A fool laughs when others laugh."
"Danish","A lean calf forgets to skip."
"Danish","A bold attempt is half success."
"Danish","A foul mouth must be provided with a strong back."
"Danish","A clean hand moves freely through the land."
"Danish","A child's sorrow is short-lived."
"Danish","A child's back must be bent early."
"Danish","A child must creep until it learns to walk."
"Danish","A burnt child fears the fire, and a bitten child fears a dog."
"Danish","A bow long bent at length waxeth weak."
"Danish","A cow is not called dappled unless she has a spot."
"Danish","A bold man has luck in his train."
"Danish","A cross-grained woman and a snappish dog take care of the house."
"Danish","A blind pigeon may sometimes find a grain of wheat."
"Danish","A bird never flew on one wing."
"Danish","A bird may be ever so small, it always seeks a nest of its own."
"Danish","A barren sow is never kind to pigs."
"Danish","A bad wife wishes her husband's heel turned homewards, and not his toe."
"Danish","A bad tree does not yield good apples."
"Danish","A bad horse eats as much as a good one."
"Danish","A borrowed horse and your own spurs make short miles."
"Danish","A dog is a dog whatever his colour."
"Danish","A man is not a lord because he feeds off fine dishes."
"Danish","A fool is like other men as long as he is silent."
"Danish","A fool is like all other men as long as he remains silent."
"Danish","A fair face will get its praise, though the owner keep silent."
"Danish","A fair exchange is no robbery."
"Danish","A fair exchange brings no quarrel."
"Danish","A duck will not always dabble in the same gutter."
"Danish","A clever man's inheritance is found in every country."
"Danish","A drunken may soon be made to dance."
"Danish","A fool only wins the first game."
"Danish","A deaf auditor makes a crazy answerer."
"Danish","A customary railer is the devil's bagpipe, which the world danceth after."
"Danish","A cursed cur should be short tied."
"Danish","A curse will not strike out an eye, unless the fist go with it."
"Danish","A crowd is not company."
"Danish","A crow thinks her own bird fairest."
"Danish","A crow is never the whiter for often washing."
"Danish","A drunken night makes a cloudy morning."
"Danish","A truth-teller finds the doors closed against him."
"Danish","A stepmother has a hard hand."
"Danish","A woman's first counsel is the best."
"Danish","A woman may be ever so old, if she take fire she will jump."
"Danish","A wise lawyer never goes to law himself."
"Danish","A wise head makes a close mouth."
"Danish","A wise head hath a close mouth to it."
"Danish","A wise falcon hides his talons."
"Danish","A young man idle, an old man needy."
"Danish","A truth-telling woman has few friends."
"Danish","A young man married is a young man marred."
"Danish","A tottering man must lean upon a staff."
"Danish","A timid man has little chance."
"Danish","A threatened man lives long, if he can get bread."
"Danish","A thief thinks every man steals."
"Danish","A thief does not willingly see another carry a basket."
"Danish","A thankless man never does a thankful deed."
"Danish","A man does not look behind the door unless he has stood there himself."
"Danish","A willing helper does not wait until he is asked."
"Danish","Advice after injury is like medicine after death."
"Danish","Every bird needs its own feathers."
"Danish","All are not good cooks who carry long knives."
"Danish","Age may wrinkle the face, but lack of enthusiasm wrinkles the soul."
"Danish","Age makes many a man whiter, but not better."
"Danish","Age is a sorry travelling companion."
"Danish","After pleasant scratching comes unpleasant smarting."
"Danish","After one that earns one that wastes."
"Danish","A young foal and an old horse draw not well together."
"Danish","Advice after the mischief is like medicine after death."
"Danish","A sparrow suffers as much when it breaks its leg as does a Flanders horse."
"Danish","Adam got a hoe, and Eve got a spinning-wheel, and thence come all our nobles."
"Danish","Act so in the valley, that you need not fear those who stand on the hill."
"Danish","Act in the valley so that you need not fear those who stand on the hill."
"Danish","Act honestly, and answer boldly."
"Danish","According to his pinions the bird flies."
"Danish","Abstinence and fasting cure many a complaint."
"Danish","A young preacher, a new hell."
"Danish","Advice to a fool goes in at one ear and out at the other."
"Danish","A modest dog seldom grows fat."
"Danish","A stern chase is a long chase."
"Danish","A poor man has few acquaintances."
"Danish","A pleasant think never comes too soon."
"Danish","A pet child has many names."
"Danish","A penny in time is as good as a dollar."
"Danish","A pair of light shoes is not all that is needed for dancing."
"Danish","A neighbour's eye is full of jealousy."
"Danish","A priest's pocket is not easily filled."
"Danish","A moneyless man goes fast through the market."
"Danish","A princely mind will undo a private family."
"Danish","A meagre compromise is better than a fat lawsuit."
"Danish","A man's will is his heaven."
"Danish","A man's character reaches town before his person."
"Danish","A man who is not spoken of is not abused."
"Danish","A man often kisses the hand he would like to see cut off."
"Danish","A man must keep his mouth open a long while before a roast pigeon files into it."
"Danish","All hairy skins must not be singed."
"Danish","A naughty child must be roughly rocked."
"Danish","A short rest is always good."
"Danish","A sow may whistle, though it has an ill mouth for it."
"Danish","A sow may find an acorn as well as a hog."
"Danish","A smooth tongue is better than smooth locks."
"Danish","A small fire that warms you, is better than a large one that burns you."
"Danish","A small cloud may hide both sun and moon."
"Danish","A small bolt to the house is better than none at all."
"Danish","A slight suspicion may destroy a good repute."
"Danish","A poor man's joy has much alloy."
"Danish","A silent man's words are not brought into court."
"Danish","A man is bound by his word, an ox with a hempen cord."
"Danish","A short cut is often a wrong cut."
"Danish","A scald head need strong lye."
"Danish","A royal heart is often hid under a tattered cloak."
"Danish","A rod is better than a fox's brush."
"Danish","A rickety chair will not long serve as a seat."
"Danish","A rich wife is a source of quarrel."
"Danish","A rich child often sits in a poor mother's lap."
"Danish","A silly song may be sung in many ways."
"Danish","He who stands high is seen from afar."
"Danish","He who was born to pennies, will never be master of dollars."
"Danish","He who was born to be hanged will not be drowned, unless the water go over the gallows."
"Danish","He who waits for dead men's shoes, may have to go long barefoot."
"Danish","He who throws himself under the bench will be left to lie there."
"Danish","He who tastes every man's broth, often burns his mouth."
"Danish","He who takes the child by the hand, takes the mother by the heart."
"Danish","He that wants to hang a dog, says that it bites the sheep."
"Danish","He who stands near the woodcutter is likely to be hit by a splinter."
"Danish","He who will not prosper in his sleep will not prosper when awake."
"Danish","He who spends more than he should Shall not have to spend when he would."
"Danish","He who speaks ill of himself is praised by no one."
"Danish","He who sows peas on the highway does not get all the pods into his barn."
"Danish","He who sows money, will reap poverty."
"Danish","He who sows little, reaps little."
"Danish","He who sows inequity shall reap shame."
"Danish","He who sows hatred shall gather rue."
"Danish","He who strikes another on the neck, does not strike far from the head."
"Danish","He who would enjoy the fire must bear its smoke."
"Danish","He who would serve everybody gets thanks from nobody."
"Danish","He who would seek revenge must be on his own guard."
"Danish","He who would save, should begin with the mouth."
"Danish","He who would not go to hell, must not go to court."
"Danish","He who would make a fool of himself will find many to like him."
"Danish","He who would leap high must take a long run."
"Danish","He who would leap far must first take a long run."
"Danish","He who whispers, lies."
"Danish","He who would hang himself is sure to find a rope."
"Danish","He who will not obey father, will have to obey stepfather."
"Danish","He who would eat the kernel, must crack the nut."
"Danish","He who would drive another over three dikes must climb over two himself."
"Danish","He who would close another man's mouth, should first tie up his own."
"Danish","He who would be everywhere will be nowhere."
"Danish","He who wills the end, wills the means."
"Danish","He who will not take cheap advice, will have to buy dear repentance."
"Danish","He who marries a widow with three children, marries four thieves."
"Danish","He who would have good cabbage, must pay its price."
"Danish","He who despises small things seldom grows rich."
"Danish","He who rises early will gather wisdom."
"Danish","He who has been bitten by a snake is afraid of an eel."
"Danish","He who has bad neighbours is fain to praise himself."
"Danish","He who has a white horse and a fair wife is seldom without trouble."
"Danish","He who has a glass roof on his own house, must not throw stones at others."
"Danish","He who feels himself scabby, let him scratch."
"Danish","Even he gets on who is drawn by oxen."
"Danish","He who has no falcon, must hunt with owls."
"Danish","Every man carries an enemy in his own bosom."
"Danish","He who has plenty of butter, may put some in his cabbage."
"Danish","He who comes first to the mill is first served."
"Danish","He who can't get bacon, must be content with cabbage."
"Danish","He who can sit upon a stone and feed himself should not move."
"Danish","He who builds according to every man's advise will have a crooked house."
"Danish","He who abuses others must not be particular about the answer he gets."
"Danish","He that you seat upon your shoulder will often try to get upon your head."
"Danish","He that was born under a three-halfpenny planet shall never be worth twopence."
"Danish","He who feeds a wolf, strengthens his enemy."
"Danish","He who is far from home, is near to harm."
"Danish","Hear one man before you answer; hear several before you decide."
"Danish","He who loves sorrow, will always find something to mourn over."
"Danish","He who lives without restraint, will die without honour."
"Danish","He who lies down in the wash will be eaten by swine."
"Danish","He who knows how to beg may leave his money at home."
"Danish","He who knows a knave, makes no bid for him."
"Danish","He who is scared by words, has no heart for deeds."
"Danish","He who has many irons in the fire, will let some of them burn."
"Danish","He who is fed by another's hand seldom gets enough."
"Danish","He who rides the horse is his master."
"Danish","He who is everywhere, is nowhere."
"Danish","He who is ashamed of asking, is ashamed of learning."
"Danish","He who is afraid to ask is ashamed of learning."
"Danish","He who hunts with cats will catch mice."
"Danish","He who hunts two hares from one bush, is not likely to catch either."
"Danish","He who hesitates is lost."
"Danish","He who herds with wolves, learns to howl."
"Danish","He who is of no use to himself, is of no use to any one."
"Danish","It does not become the sparrow to mix in the dance of the cranes."
"Danish","If you would catch a fox you must hunt with geese."
"Danish","It is a bold mouse that makes her nest in the cat's ear."
"Danish","It is a base thing to tear a dead lion's beard off."
"Danish","It is a bad well that need water to be carried to it."
"Danish","It is a bad sheep that is too lazy to carry its own fleece."
"Danish","It is a bad hen that lays her eggs away from the farm."
"Danish","It is a bad hand that refuses to guard the head."
"Danish","It is a lazy bird that will not build its own nest."
"Danish","It does not depend upon the dog when the horse shall die."
"Danish","It is a poor horse that is not worth his oats."
"Danish","In war it is best to tie your horse to a strange manger."
"Danish","In the ant's house, the dew is a flood."
"Danish","In taking revenge, a man is but even with his enemy; but in passing it over, he is superior."
"Danish","In still waters are the largest fish."
"Danish","In still water the worms are worst."
"Danish","In still water are the largest fish."
"Danish","He who would steal honey, must not be afraid of bees."
"Danish","It has been blowing hard--the dirt has been blown into high places."
"Danish","It is bad iron in which there is no steel."
"Danish","It is better to scrape the cheese than to peel it."
"Danish","It is better to make conditions in the bush than in prison."
"Danish","It is better to buy dearly than to hunger direly."
"Danish","It is best to trust to two anchors. [Have two strings to your bow.]"
"Danish","It is best to play with equals."
"Danish","It is best to be on the safe side."
"Danish","It is best to be off with the old love before you are on with the new."
"Danish","It is a great art to laugh at you own misfortune."
"Danish","It is bad to be between two fires."
"Danish","If you wish a thing done, go; if not, send."
"Danish","It is bad for puppies to play with bear-cubs."
"Danish","It is as well to be naked as to have no covering."
"Danish","It is as much intemperance to weep too much, as to laugh too much."
"Danish","It is as cheap sitting as standing."
"Danish","It is as bad to spit out the fire and be shamed, as it is to swallow it and be burnt."
"Danish","It is an ill wind that blows nobody good."
"Danish","It is an ill turn that does no good to any one."
"Danish","It is bad to lean against a falling wall."
"Danish","Honour the tree that gives you shelter."
"Danish","Ill weeds grow the fastest and last the longest."
"Danish","Human blood is all of one colour."
"Danish","However high a bird may soar, it seeks its food on earth."
"Danish","Hope springs eternal."
"Danish","Hope is the dream of the waking."
"Danish","Hope is an egg of which one man gets the yolk, another the white, and a third the shell."
"Danish","Hope for the best and prepare for the worst."
"Danish","I would rather see smoke from my own chimney than the fire on another's hearth."
"Danish","Hope and expectation are a fool's income."
"Danish","I'll go myself, and ""I'll see to it,"" are two good servants on a farm."
"Danish","Honour the old, teach the young."
"Danish","Honor buys no meat in the market."
"Danish","Honeyed speech often conceals poison and gall."
"Danish","Hold your dog in readiness before you start the hare."
"Danish","Help the lame dog over the stile."
"Danish","Help is good everywhere, except in the porridge-bowl."
"Danish","He who does look before him, must take misfortune for his earnings."
"Danish","Hope deferred makes the heart sick."
"Danish","If lies are to find credence, they must be patched with truth."
"Danish","If you will stir up the mire, you must bear the smell."
"Danish","If you play with the fool at home, he will play with you abroad."
"Danish","If you have learnt to wait, you may be Queen of Sweden."
"Danish","If you cannot get the bird, get one of its feathers."
"Danish","If thoughts were legal witnesses, many an honest man would be proved a rogue."
"Danish","If the hen did not cackle no one would know what she had been about."
"Danish","If the best man's faults were written on his forehead, it would make him pull his hat over his eyes."
"Danish","I am a judge of cresses, said the peasant, as he was eating hemlock."
"Danish","If lies were Latin, there would be many learned men."
"Danish","He will never get into the wood who starts at every bush."
"Danish","If it is to be luck, the bull may as well calve as the cow."
"Danish","If God give not bushelfuls, he gives spoonfuls."
"Danish","If God bids thee draw, he will find thee a rope; if he bids thee ride, he will find thee a horse."
"Danish","If envy were a fever, all the world would be ill."
"Danish","If a man has folly in his sleeve, it will be sure to peep out."
"Danish","If a beard were all, the goat would be the winner."
"Danish","Idleness is the devil's bolster."
"Danish","If the beard were all, the goat might preach."
"Danish","Fortune often knocks at the door, but the fool does not invite her in."
"Danish","Give a rogue an inch, and he will take an ell."
"Danish","Give a pig when it grunts, and a child when it cries, and you will have a fine pig, and a bad child."
"Danish","Gifts should be handed, not thrown."
"Danish","Gifts make friendship lasting."
"Danish","From praise, as from a shadow, a man is neither bigger nor smaller."
"Danish","From clogs to clogs is only three generations."
"Danish","Great lords have long hands, but they do not reach to heaven."
"Danish","Fortune rarely brings good or evil singly."
"Danish","Give your wife the short knife, and keep the long one for yourself."
"Danish","For a good dinner and a gentle wife you can afford to wait."
"Danish","Follow the customs, or fly the country."
"Danish","Flattery is sweet food for those who can swallow it."
"Danish","Fish and guests stink after three days."
"Danish","Fish and guests smell at three days old."
"Danish","Fire and water are good servants but bad masters."
"Danish","Fire and straw soon make a flame."
"Danish","From children you must expect childish acts."
"Danish","God help the sheep when the wolf is judge."
"Danish","Govern a horse with a bit, and a shrew with a stick."
"Danish","Good never comes too often."
"Danish","A bad hair cut is two people's shame."
"Danish","Good counsel is no better than bad counsel, if it be not taken in time."
"Danish","Good counsel will not rot, if it be got in dry."
"Danish","Gold is proved in the fire, friendship in need."
"Danish","God sends men cold according to their clothes."
"Danish","Give a thing, and take a thing, to wear the devil's gold ring."
"Danish","He that wants to hang a dog, is sure to find a rope."
"Danish","Give to a pig when it grunts and a child when it cries , and you will have a fine pig and a bad child."
"Danish","He who feeds the hen out to have the egg."
"Danish","God gives little folks small gifts."
"Danish","God gives every bird its food, but does not throw it into the nest."
"Danish","God gives all birds their food but does not drop it into their nests."
"Danish","God cometh with leaden feet, but striketh with iron hands."
"Danish","God comes at last, when we think he is farthest off."
"Danish","Fine words butter no parsnips."
"Danish","God permits the wicked; but not for ever."
"Danish","Every one rakes the fire under his own pot."
"Danish","Fingers were made before forks."
"Danish","Evil must be driven out by evil."
"Danish","Evil is soon done, but slowly mended."
"Danish","Everything has an end."
"Danish","Everything has an end--except a sausage, which has two."
"Danish","Every wind is against a leaky ship."
"Danish","Every tub must stand on its own bottom."
"Danish","Eye-service is the courtier's art."
"Danish","Every one sees his smart coat, no one sees his shrunken belly."
"Danish","Faint praise is akin to abuse."
"Danish","Every one finds sin sweet and repentance bitter."
"Danish","Every man must go to the mill with his own sack."
"Danish","Every man must carry his own sack to the mill."
"Danish","Every man likes his own praise best."
"Danish","Every man is the architect of his own fortune."
"Danish","Every man has his lot, and a wide world before him."
"Danish","Every man has his liking."
"Danish","Every one tries to cross the fence where it is lowest."
"Danish","Faults are thick where love is thin."
"Danish","God never sends mouths but he sends meat."
"Danish","Fine linen often conceals scabby skin."
"Danish","Fields have eyes and woods have ears."
"Danish","Fie upon thee, how black thou art! said the kettle to the saucepan."
"Danish","Few words are best."
"Danish","Few women turn grey because their husband dies."
"Danish","Few there are that will endure a true friend."
"Danish","Evil wastes itself."
"Danish","Favour and gifts disturb justice."
"Danish","Fine words without deeds go not far."
"Danish","Father and mother are kind, but God is kinder."
"Danish","Fame and repute follow a man to the door."
"Danish","Falseness often lurks beneath fair hair."
"Danish","Falsehood, like a nettle, stings those who meddle with it."
"Danish","Falsehood travels and grows."
"Danish","Falsehood never tires of going round about."
"Danish","Falsehood is the Devil's daughter, and speaks her father's tongue."
"Danish","Few have luck, all have death."
"Danish","He sits well who can rise without help."
"Danish","He must have clean fingers who would blow another's nose."
"Danish","He that desires but little has no need of much."
"Danish","He that deals in dirt has ay foul fingers."
"Danish","He that dares not venture must not complain of ill luck."
"Danish","He that dallies with his enemy gives him leave to kill him."
"Danish","God gives the will, necessity gives the law."
"Danish","He that courts injury will obtain it."
"Danish","He that does you a very ill turn will never forgive you."
"Danish","He that bears the cross, blesses himself first."
"Danish","He that doth most at once doth least."
"Danish","He scolds most that can hurt the least."
"Danish","He runs heavily who is forced to run."
"Danish","He needs a long spoon that would eat out of the same dish with the devil."
"Danish","He must stand high that would see the end of his own destiny."
"Danish","He must keep a sharp look-out who would speak the truth."
"Danish","He must have much meal who would stop all mouths."
"Danish","He must have iron fingers who would flay the devil."
"Danish","Great lords will have much, and poor folk can give but little."
"Danish","He that laughs at his ain joke spoils the sport o't."
"Danish","He that touches pitch shall be defiled."
"Danish","He that touches pitch defiles himself."
"Danish","He that sings himself is the best pleased."
"Danish","He that says what he should not, will hear what he would not."
"Danish","He that performs his own errand saves the messenger's hire."
"Danish","He that lives upon hope will die fasting."
"Danish","He that lives on hope has but a slender diet."
"Danish","He that does not save pennies, will never have pounds."
"Danish","He that lies down with the dogs, will get up with fleas."
"Danish","He that boasteth of himself affronteth his company."
"Danish","He that is once at sea, must either sail or sink."
"Danish","He that inquires much, learns much."
"Danish","He that holds is no better than he that scourges."
"Danish","He that hires one garden eats birds; he that hires more than one will be eaten by the birds."
"Danish","He that hides is no better than he that steals."
"Danish","He that has no money in his purse, should have fair words on his lips."
"Danish","He that drinks beer, thinks beer."
"Danish","He that lives in hope dances to an ill tune."
"Danish","He came time enough who was hung by candlelight."
"Danish","He is little suited to be a baker, whose head is made of butter."
"Danish","He is a poor Smith who is afraid of sparks."
"Danish","He is a man, who acts like a man."
"Danish","He is a fool that praises himself, and he a madman that speaks ill of himself."
"Danish","He has command of the sack who is seated on it."
"Danish","He had need rise betimes who would please everybody."
"Danish","He fears the sack who has been in it."
"Danish","He is most cheated who cheats himself."
