ID,Question,Ans01,Ans02,Ans03,Ans04,Ans05,Ans06,Ans07,Ans08,Ans09,Ans10
110230,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: That's Life ù 1986",Julie Andrews,,,,,,,,,
110231,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: The Man Who Loved Women ù 1983",Julie Andrews,,,,,,,,,
110232,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: Victor/Victoria ù 1982",Julie Andrews,,,,,,,,,
110233,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: S.O.B. ù 1981",Julie Andrews,,,,,,,,,
110234,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: Little Miss Marker ù 1980",Julie Andrews,,,,,,,,,
110235,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: 10 ù 1979",Julie Andrews,,,,,,,,,
110236,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: The Tamarind Seed ù 1974",Julie Andrews,,,,,,,,,
110237,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: Darling Lili ù 1970",Julie Andrews,,,,,,,,,
110238,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: Star! ù 1968",Julie Andrews,,,,,,,,,
110239,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: Thoroughly Modern Millie ù 1967",Julie Andrews,,,,,,,,,
110240,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: Torn Curtain ù 1966",Julie Andrews,,,,,,,,,
110241,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: Hawaii ù 1966",Julie Andrews,,,,,,,,,
110242,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: The Sound of Music ù 1965",Julie Andrews,,,,,,,,,
110243,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: The Americanization of Emily ù 1964",Julie Andrews,,,,,,,,,
110244,"TV / Movies: Born Oct 1, 1935, She Starred In This Movie: Mary Poppins ù 1964",Julie Andrews,,,,,,,,,
110245,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Any Given Sunday ù 1999",Ann-Margret,,,,,,,,,
110246,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Grumpier Old Men ù 1995",Ann-Margret,,,,,,,,,
110247,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Grumpy Old Men ù 1993",Ann-Margret,,,,,,,,,
110248,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Newsies ù 1992",Ann-Margret,,,,,,,,,
110249,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Our Sons ù 1991",Ann-Margret,,,,,,,,,
110250,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: The Return of the Soldier ù 1983",Ann-Margret,,,,,,,,,
110251,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Twice in a Lifetime ù 1985",Ann-Margret,,,,,,,,,
110252,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Who Will Love My Children? ù 1983",Ann-Margret,,,,,,,,,
110253,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Middle Age Crazy ù 1980",Ann-Margret,,,,,,,,,
110254,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: The Villain ù 1979",Ann-Margret,,,,,,,,,
110255,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Magic ù 1978",Ann-Margret,,,,,,,,,
110256,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Tommy ù 1975",Ann-Margret,,,,,,,,,
110257,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: The Train Robbers ù 1973",Ann-Margret,,,,,,,,,
110258,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Carnal Knowledge ù 1971",Ann-Margret,,,,,,,,,
110259,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: The Tiger and the Pussycat ù 1967",Ann-Margret,,,,,,,,,
110260,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: The Swinger ù 1966",Ann-Margret,,,,,,,,,
110261,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: The Cincinnati Kid ù 1965",Ann-Margret,,,,,,,,,
110262,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Once a Thief ù 1965",Ann-Margret,,,,,,,,,
110263,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Bus Riley's Back in Town ù 1965",Ann-Margret,,,,,,,,,
110264,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: The Pleasure Seekers ù 1964",Ann-Margret,,,,,,,,,
110265,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Kitten With a Whip ù 1964",Ann-Margret,,,,,,,,,
110266,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Viva Las Vegas ù 1964",Ann-Margret,,,,,,,,,
110267,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: Bye Bye Birdie ù 1963",Ann-Margret,,,,,,,,,
110268,"TV / Movies: Born Apr 28, 1941, She Starred In This Movie: State Fair ù 1962",Ann-Margret,,,,,,,,,
110269,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Diamonds ù 1999",Lauren Bacall,,,,,,,,,
110270,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: The Line King: Al Hirschfeld ù 1996",Lauren Bacall,,,,,,,,,
110271,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: The Mirror Has Two Faces ù 1996",Lauren Bacall,,,,,,,,,
110272,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: My Fellow Americans ù 1996",Lauren Bacall,,,,,,,,,
110273,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Ready To Wear (PrΩt-α-Porter) ù 1994",Lauren Bacall,,,,,,,,,
110274,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: A Star for Two ù 1991",Lauren Bacall,,,,,,,,,
110275,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: All I Want for Christmas ù 1991",Lauren Bacall,,,,,,,,,
110276,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Innocent Victim ù 1990",Lauren Bacall,,,,,,,,,
110277,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Misery ù 1990",Lauren Bacall,,,,,,,,,
110278,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Tree of Hands ù 1989",Lauren Bacall,,,,,,,,,
110279,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Dinner at Eight ù 1989",Lauren Bacall,,,,,,,,,
110280,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Appointment With Death ù 1988",Lauren Bacall,,,,,,,,,
110281,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Mr. North ù 1988",Lauren Bacall,,,,,,,,,
110282,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: The Fan ù 1981",Lauren Bacall,,,,,,,,,
110283,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: H.E.A.L.T.H. ù 1979",Lauren Bacall,,,,,,,,,
110284,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Perfect Gentlemen ù 1978",Lauren Bacall,,,,,,,,,
110285,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: The Shootist ù 1976",Lauren Bacall,,,,,,,,,
110286,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Murder on the Orient Express ù 1974",Lauren Bacall,,,,,,,,,
110287,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Harper ù 1966",Lauren Bacall,,,,,,,,,
110288,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Sex and the Single Girl ù 1965",Lauren Bacall,,,,,,,,,
110289,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Shock Treatment ù 1964",Lauren Bacall,,,,,,,,,
110290,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Flame Over India ù 1959",Lauren Bacall,,,,,,,,,
110291,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: The Gift of Love ù 1958",Lauren Bacall,,,,,,,,,
110292,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Written on the Wind ù 1957",Lauren Bacall,,,,,,,,,
110293,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Designing Woman ù 1957",Lauren Bacall,,,,,,,,,
110294,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: The Cobweb ù 1955",Lauren Bacall,,,,,,,,,
110295,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Blood Alley ù 1955",Lauren Bacall,,,,,,,,,
110296,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Woman's World ù 1954",Lauren Bacall,,,,,,,,,
110297,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: A Woman's World ù 1954",Lauren Bacall,,,,,,,,,
110298,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: How To Marry a Millionaire ù 1953",Lauren Bacall,,,,,,,,,
110299,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Young Man With a Horn ù 1950",Lauren Bacall,,,,,,,,,
110300,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Bright Leaf ù 1950",Lauren Bacall,,,,,,,,,
110301,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Key Largo ù 1948",Lauren Bacall,,,,,,,,,
110302,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Dark Passage ù 1947",Lauren Bacall,,,,,,,,,
110303,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: The Big Sleep ù 1946",Lauren Bacall,,,,,,,,,
110304,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Two Guys From Milwaukee ù 1946",Lauren Bacall,,,,,,,,,
110305,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: Confidential Agent ù 1945",Lauren Bacall,,,,,,,,,
110306,"TV / Movies: Born Sep 16, 1924, She Starred In This Movie: To Have and Have Not ù 1944",Lauren Bacall,,,,,,,,,
110307,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: A Century of Cinema ù 1994",Jane Fonda,,,,,,,,,
110308,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Stanley and Iris ù 1990",Jane Fonda,,,,,,,,,
110309,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Old Gringo ù 1988",Jane Fonda,,,,,,,,,
110310,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: The Morning After ù 1986",Jane Fonda,,,,,,,,,
110311,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Agnes of God ù 1985",Jane Fonda,,,,,,,,,
110312,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: The Dollmaker ù 1984",Jane Fonda,,,,,,,,,
110313,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Rollover ù 1981",Jane Fonda,,,,,,,,,
110314,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: On Golden Pond ù 1981",Jane Fonda,,,,,,,,,
110315,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: 9 to 5 ù 1980",Jane Fonda,,,,,,,,,
110316,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: No Nukes ù 1980",Jane Fonda,,,,,,,,,
110317,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: The Electric Horseman ù 1979",Jane Fonda,,,,,,,,,
110318,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: The China Syndrome ù 1979",Jane Fonda,,,,,,,,,
110319,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Comes a Horseman ù 1978",Jane Fonda,,,,,,,,,
110320,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: California Suite ù 1978",Jane Fonda,,,,,,,,,
110321,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Coming Home ù 1978",Jane Fonda,,,,,,,,,
110322,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Fun With Dick and Jane ù 1977",Jane Fonda,,,,,,,,,
110323,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Julia ù 1977",Jane Fonda,,,,,,,,,
110324,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: The Blue Bird ù 1976",Jane Fonda,,,,,,,,,
110325,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: A Doll's House ù 1973",Jane Fonda,,,,,,,,,
110326,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Steelyard Blues ù 1973",Jane Fonda,,,,,,,,,
110327,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Tout va bien ù 1972",Jane Fonda,,,,,,,,,
110328,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Klute ù 1971",Jane Fonda,,,,,,,,,
110329,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: They Shoot Horses, Don't They? ù 1969",Jane Fonda,,,,,,,,,
110330,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Barbarella ù 1968",Jane Fonda,,,,,,,,,
110331,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Histoires Extraordinaires/Spirits of the Dead ù 1968",Jane Fonda,,,,,,,,,
110332,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Barefoot in the Park ù 1967",Jane Fonda,,,,,,,,,
110333,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Hurry, Sundown ù 1967",Jane Fonda,,,,,,,,,
110334,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: The Game Is Over ù 1966",Jane Fonda,,,,,,,,,
110335,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Any Wednesday ù 1966",Jane Fonda,,,,,,,,,
110336,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: The Chase ù 1966",Jane Fonda,,,,,,,,,
110337,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: La Curee/The Game Is Over ù 1966",Jane Fonda,,,,,,,,,
110338,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Cat Ballou ù 1965",Jane Fonda,,,,,,,,,
110339,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Joy House ù 1964",Jane Fonda,,,,,,,,,
110340,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Sunday in New York ù 1964",Jane Fonda,,,,,,,,,
110341,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Les Felins/Joy House/The Love Cage ù 1964",Jane Fonda,,,,,,,,,
110342,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: La Ronde/Circle of Love ù 1964",Jane Fonda,,,,,,,,,
110343,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: In the Cool of the Day ù 1963",Jane Fonda,,,,,,,,,
110344,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Walk on the Wild Side ù 1962",Jane Fonda,,,,,,,,,
110345,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Period of Adjustment ù 1962",Jane Fonda,,,,,,,,,
110346,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: The Chapman Report ù 1962",Jane Fonda,,,,,,,,,
110347,"TV / Movies: Born Dec 21, 1937, She Starred In This Movie: Tall Story ù 1960",Jane Fonda,,,,,,,,,
110348,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Grumpier Old Men ù 1995",Sophia Loren,,,,,,,,,
110349,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Ready To Wear (PrΩt-α-Porter) ù 1994",Sophia Loren,,,,,,,,,
110350,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Saturday, Sunday and Monday ù 1990",Sophia Loren,,,,,,,,,
110351,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Running Away ù 1989",Sophia Loren,,,,,,,,,
110352,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Michael Jackson: The Legend Continues ù 1989",Sophia Loren,,,,,,,,,
110353,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Fortunate Pilgrim ù 1988",Sophia Loren,,,,,,,,,
110354,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Bellissimo: Images of the Italian Cinema ù 1987",Sophia Loren,,,,,,,,,
110355,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Courage ù 1986",Sophia Loren,,,,,,,,,
110356,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Qualcosa di Biondo ù 1985",Sophia Loren,,,,,,,,,
110357,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Aurora ù 1984",Sophia Loren,,,,,,,,,
110358,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Sophia Loren: Her Own Story ù 1980",Sophia Loren,,,,,,,,,
110359,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: A Blood Feud ù 1979",Sophia Loren,,,,,,,,,
110360,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Firepower ù 1979",Sophia Loren,,,,,,,,,
110361,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Blood Feud ù 1979",Sophia Loren,,,,,,,,,
110362,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Brass Target ù 1978",Sophia Loren,,,,,,,,,
110363,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Cassandra Crossing ù 1977",Sophia Loren,,,,,,,,,
110364,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Angela ù 1977",Sophia Loren,,,,,,,,,
110365,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: A Special Day ù 1977",Sophia Loren,,,,,,,,,
110366,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Verdict ù 1974",Sophia Loren,,,,,,,,,
110367,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Gun Moll ù 1974",Sophia Loren,,,,,,,,,
110368,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Brief Encounter ù 1974",Sophia Loren,,,,,,,,,
110369,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Voyage ù 1973",Sophia Loren,,,,,,,,,
110370,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: White Sister ù 1973",Sophia Loren,,,,,,,,,
110371,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Mortadella/Lady Liberty ù 1972",Sophia Loren,,,,,,,,,
110372,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Man of La Mancha ù 1972",Sophia Loren,,,,,,,,,
110373,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Lady Liberty ù 1971",Sophia Loren,,,,,,,,,
110374,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Priest's Wife ù 1970",Sophia Loren,,,,,,,,,
110375,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Sunflower ù 1970",Sophia Loren,,,,,,,,,
110376,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Ghosts--Italian Style ù 1967",Sophia Loren,,,,,,,,,
110377,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Cinderella: Italian Style ù 1967",Sophia Loren,,,,,,,,,
110378,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: A Countess From Hong Kong ù 1967",Sophia Loren,,,,,,,,,
110379,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: More Than a Miracle ù 1967",Sophia Loren,,,,,,,,,
110380,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Arabesque ù 1966",Sophia Loren,,,,,,,,,
110381,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Judith ù 1966",Sophia Loren,,,,,,,,,
110382,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Lady L ù 1965",Sophia Loren,,,,,,,,,
110383,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Operation Crossbow ù 1965",Sophia Loren,,,,,,,,,
110384,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Yesterday, Today and Tomorrow ù 1964",Sophia Loren,,,,,,,,,
110385,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Marriage Italian Style ù 1964",Sophia Loren,,,,,,,,,
110386,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Fall of the Roman Empire ù 1964",Sophia Loren,,,,,,,,,
110387,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Condemned of Altona ù 1963",Sophia Loren,,,,,,,,,
110388,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Madame ù 1963",Sophia Loren,,,,,,,,,
110389,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Five Miles to Midnight ù 1962",Sophia Loren,,,,,,,,,
110390,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Boccaccio '70 ù 1962",Sophia Loren,,,,,,,,,
110391,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Madame Sans-GΩne ù 1961",Sophia Loren,,,,,,,,,
110392,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: El Cid ù 1961",Sophia Loren,,,,,,,,,
110393,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Two Women ù 1961",Sophia Loren,,,,,,,,,
110394,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Millionairess ù 1960",Sophia Loren,,,,,,,,,
110395,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: It Started in Naples ù 1960",Sophia Loren,,,,,,,,,
110396,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Heller in Pink Tights ù 1960",Sophia Loren,,,,,,,,,
110397,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: A Breath of Scandal ù 1960",Sophia Loren,,,,,,,,,
110398,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: That Kind of Woman ù 1959",Sophia Loren,,,,,,,,,
110399,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Black Orchid ù 1959",Sophia Loren,,,,,,,,,
110400,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Key ù 1958",Sophia Loren,,,,,,,,,
110401,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Houseboat ù 1958",Sophia Loren,,,,,,,,,
110402,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Desire Under the Elms ù 1958",Sophia Loren,,,,,,,,,
110403,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Pride and the Passion ù 1957",Sophia Loren,,,,,,,,,
110404,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Legend of the Lost ù 1957",Sophia Loren,,,,,,,,,
110405,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Boy on a Dolphin ù 1957",Sophia Loren,,,,,,,,,
110406,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Woman of the River ù 1955",Sophia Loren,,,,,,,,,
110407,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Sign of Venus ù 1955",Sophia Loren,,,,,,,,,
110408,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Scandal in Sorrento ù 1955",Sophia Loren,,,,,,,,,
110409,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Lucky To Be a Woman ù 1955",Sophia Loren,,,,,,,,,
110410,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Miller's Wife ù 1955",Sophia Loren,,,,,,,,,
110411,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Too Bad She's Bad ù 1955",Sophia Loren,,,,,,,,,
110412,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Poverty and Nobility ù 1954",Sophia Loren,,,,,,,,,
110413,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Gold of Naples ù 1954",Sophia Loren,,,,,,,,,
110414,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Attila the Hun ù 1954",Sophia Loren,,,,,,,,,
110415,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Anatomy of Love ù 1953",Sophia Loren,,,,,,,,,
110416,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: We'll Meet in the Gallery ù 1953",Sophia Loren,,,,,,,,,
110417,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Neopolitan Carousel ù 1953",Sophia Loren,,,,,,,,,
110418,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Good People's Sunday ù 1953",Sophia Loren,,,,,,,,,
110419,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Country of Bells ù 1953",Sophia Loren,,,,,,,,,
110420,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Pilgrim of Love ù 1953",Sophia Loren,,,,,,,,,
110421,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Two Nights With Cleopatra ù 1953",Sophia Loren,,,,,,,,,
110422,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Aida ù 1953",Sophia Loren,,,,,,,,,
110423,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: La Favorita ù 1952",Sophia Loren,,,,,,,,,
110424,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Africa Under the Seas ù 1952",Sophia Loren,,,,,,,,,
110425,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The White Slave Trade ù 1952",Sophia Loren,,,,,,,,,
110426,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Milana the Millionairess ù 1951",Sophia Loren,,,,,,,,,
110427,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Dream of Zorro ù 1951",Sophia Loren,,,,,,,,,
110428,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Piano Tuner Has Arrived ù 1951",Sophia Loren,,,,,,,,,
110429,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: It's Him . . . Yes. Yes! ù 1951",Sophia Loren,,,,,,,,,
110430,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Magician in Spite of Himself ù 1951",Sophia Loren,,,,,,,,,
110431,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Quo Vadis ù 1951",Sophia Loren,,,,,,,,,
110432,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Anna ù 1951",Sophia Loren,,,,,,,,,
110433,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Hearts Upon the Sea ù 1950",Sophia Loren,,,,,,,,,
110434,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: The Vote ù 1950",Sophia Loren,,,,,,,,,
110435,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Bluebeard's Six Wives ù 1950",Sophia Loren,,,,,,,,,
110436,"TV / Movies: Born Sep 20, 1934, She Starred In This Movie: Io Sono il Capatz ù 1950",Sophia Loren,,,,,,,,,
110437,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Get Bruce ù 1999",Shirley MacLaine,,,,,,,,,
110438,"TV / Movies: Born April 24, 1934, She Starred In This Movie: A Smile Like Yours ù 1997",Shirley MacLaine,,,,,,,,,
110439,"TV / Movies: Born April 24, 1934, She Starred In This Movie: The Evening Star ù 1996",Shirley MacLaine,,,,,,,,,
110440,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Mrs. Winterbourne ù 1996",Shirley MacLaine,,,,,,,,,
110441,"TV / Movies: Born April 24, 1934, She Starred In This Movie: The Celluloid Closet ù 1996",Shirley MacLaine,,,,,,,,,
110442,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Guarding Tess ù 1994",Shirley MacLaine,,,,,,,,,
110443,"TV / Movies: Born April 24, 1934, She Starred In This Movie: A Century of Cinema ù 1994",Shirley MacLaine,,,,,,,,,
110444,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Wrestling Ernest Hemingway ù 1993",Shirley MacLaine,,,,,,,,,
110445,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Used People ù 1992",Shirley MacLaine,,,,,,,,,
110446,"TV / Movies: Born April 24, 1934, She Starred In This Movie: Defending Your Life ù 1991",Shirley MacLaine,,,,,,,,,
